1507,"New Haven, CT"
304,"New London, CT"
2019,"New River, FL"
346,"New Rochelle Harbor, NY"
385,"New York Harbor, NY and NJ Upper Bay"
388,"New York and New Jersey Channels, NY and NJ"
398,"New York, NY and NJ"
392,"Newark Bay, NJ (Included in NewarK Bay, NJ Consolidated Report and Port of New York)"
139,"Newburyport, MA"
736,"Newport News, VA"
192,"Newport, RI"
355,"Newtown Creek, NY"
83,"Niantic Harbor, CT"
5735,"Norfolk Harbor, VA"
106,"Northeast Harbor, ME"
521,"Northport, NY"
314,"Norwalk, CT"
450,"Ocean City, MD"
119,"Owls Head Harbor, ME"
2162,"Palm Beach, FL"
394,"Passaic River, NJ"
5252,"Paulsboro, NJ"
502,"Peekskill, NY"
298,"Penn Manor, PA"
552,"Philadelphia, PA"
170,"Plymouth, MA"
198,"Point Judith and Point Judith Pond, RI, Harbor of Refuge"
2160,"Port Canaveral, FL"
340,"Port Chester Harbor, NY"
2163,"Port Everglades, FL"
507,"Port Henry, NY"
522,"Port Jefferson, NY"
774,"Port Royal, SC"
128,"Portland, ME"
135,"Portsmouth, NH"
721,"Potomac River at Lower Cedar Point, MD"
716,"Potomac River, Virginia Channel, DC"
714,"Potomac River, Washington Channel, DC"
191,"Providence, RI"
172,"Provincetown, MA"
704,"Queenstown, MD"
387,"Raritan River, NJ"
737,"Richmond, VA"
703,"Rock Hall, MD"
118,"Rockland, ME"
142,"Rockport, MA"
117,"Rockport, ME"
503,"Rondout, NY"
214,"Rouses Point, NY"
138,"Rye, NH"
531,"Sag Harbor, NY"
188,"Sakonnet, RI"
146,"Salem, MA"
1275,"Sandy Bay, Cape Ann, MA Harbor of Refuge"
374,"Sandy Hook Bay at Leonardo, NJ"
1276,"Sandy Hook Bay, NJ"
373,"Sandy Hook Bay, NJ (Nonproject)"
504,"Saugerties, NY"
776,"Savannah, GA"
557,"Schuylkill River, PA"
167,"Scituate, MA"
112,"Searsport, ME"
366,"Sheepshead Bay, NY"
861,"Shipyard River, SC"
375,"Shoal Harbor and Compton Creek, NJ"
762,"Silver Lake Harbor, NC"
123,"South Bristol, ME"
107,"Southwest Harbor, ME"
2159,"St. Augustine, FL"
294,"St. Michaels Harbor, MD"
317,"Stamford, CT"
111,"Stockton, ME"
302,"Stonington, CT"
109,"Stonington, ME"
9907,"Summary of Traffic Delaware River and Tributaries, Trenton, NJ to the Sea"
9906,Summary of Traffic Total Waterborne Commerce of the Port of New York
501,"Tarrytown, NY"
120,"Tenants Harbor, ME"
121,"Thomaston, ME"
710,"Tilghman Island, MD"
163,"Town River, MA"
553,"Trenton, NJ"
679,"Tylers Beach, VA"
1335,"Village Creek, SC"
182,"Vineyard Haven, MA"
5700,"Virginia, VA, Port of"
818,"Wanchese, NC"
174,"Wareham, MA"
81,"Warwick, RI"
713,"Washington, DC"
173,"Wellfleet, MA"
352,"Westchester Creek, NY"
313,"Westport, CT"
164,"Weymouth Back River, MA"
162,"Weymouth Fore River, MA"
197,"Wickford, RI"
554,"Wilmington, DE"
766,"Wilmington, NC"
734,"Winter Harbor, VA"
151,"Winthrop Harbor, MA"
130,"Wood Island Harbor, ME and the Pool at Biddeford"
27,"York Harbor, ME"
